Pathway,negLogPvalue,Ratio,Zscore,Molecules
Role of Osteoblasts  Osteoclasts and Chondrocytes in Rheumatoid Arthritis,1.22,0.0306,#NUM!,ACP5 ACVR2B CTSK DKK3 FOS IL1RL2 SFRP1
UVA-Induced MAPK Signaling,1.21,0.0408,#NUM!,FOS PARP12 RPS6KA2 SMPD2
Cytoprotection by HMOX1,1.2,0.05,#NUM!,BLVRB MAFK PTK6
Dermatan Sulfate Biosynthesis (Late Stages),1.2,0.05,#NUM!,SULT1C2 SULT1C4 SULT2B1
Assembly of collagen fibrils and other multimeric structures,1.18,0.0492,#NUM!,CD151 CTSS MMP9
Heparan Sulfate Biosynthesis,1.18,0.04,#NUM!,EXTL3 SULT1C2 SULT1C4 SULT2B1
MTOR signalling,1.17,0.0714,#NUM!,LAMTOR1 RRAGD
Pregnenolone Biosynthesis,1.17,0.0714,#NUM!,COQ7 CYP1B1
Pyroptosis Signaling Pathway,1.16,0.0392,#NUM!,CASP8 GBP1 P2RX7 TLR8
Chondroitin Sulfate Biosynthesis (Late Stages),1.15,0.0476,#NUM!,SULT1C2 SULT1C4 SULT2B1
Energy dependent regulation of mTOR by LKB1-AMPK,1.15,0.069,#NUM!,LAMTOR1 RRAGD
Paracetamol ADME,1.15,0.069,#NUM!,GSTP1 SULT1C4
Gluconeogenesis I,1.15,0.069,#NUM!,ALDOB ME1
Histidine Degradation VI,1.15,0.069,#NUM!,COQ7 CYP1B1
Peroxisomal protein import,1.13,0.0469,#NUM!,ACAA1 DAO MLYCD
Melanin biosynthesis,1.13,0.2,#NUM!,OCA2
FasL/ CD95L signaling,1.13,0.2,#NUM!,CASP8
Signaling by MST1,1.13,0.2,#NUM!,MST1
NFE2L2 regulating ER-stress associated genes,1.13,0.2,#NUM!,MAFK
Phosphorylation and nuclear translocation of BMAL1 (ARNTL) and CLOCK,1.13,0.2,#NUM!,CSNK2A1
Proline Biosynthesis II (from Arginine),1.13,0.2,#NUM!,PYCR2
Citrulline-Nitric Oxide Cycle,1.13,0.2,#NUM!,ASS1
Galactose Degradation I (Leloir Pathway),1.13,0.2,#NUM!,GALK2
Tyrosine Degradation I,1.13,0.2,#NUM!,TAT
Role of JAK2 in Hormone-like Cytokine Signaling,1.12,0.0462,#NUM!,EPOR FOS SOCS3
Abacavir ADME,1.09,0.0448,#NUM!,SLC22A3 STK33 WHR1
Ribavirin ADME,1.09,0.0448,#NUM!,SLC29A1 STK33 WHR1
Phospholipases,1.07,0.0441,#NUM!,LPL PLA2G4C PLD6
Macroautophagy,1.06,0.0435,#NUM!,LAMTOR1 MAP1LC3B RRAGD
Biosynthesis of Lipoxins (LX),1.06,0.167,#NUM!,PTGR1
Choline catabolism,1.06,0.167,#NUM!,DMGDH
NFE2L2 regulating inflammation associated genes,1.06,0.167,#NUM!,MAFK
Arginine Biosynthesis IV,1.06,0.167,#NUM!,ASS1
Glycine Cleavage Complex,1.06,0.167,#NUM!,OCA2
Activation of Matrix Metalloproteinases,1.05,0.0606,#NUM!,CTSK MMP9
MAPK targets/ Nuclear events mediated by MAP kinases,1.05,0.0606,#NUM!,FOS RPS6KA2
Airway Inflammation in Asthma,1.05,0.0606,#NUM!,EPX MMP9
Ubiquinol-10 Biosynthesis (Eukaryotic),1.05,0.0606,#NUM!,COQ7 CYP1B1
Stearate Biosynthesis I (Animals),1.04,0.0429,#NUM!,OSGEPL1 PTGR1 TBXAS1
Granulocyte Adhesion and Diapedesis,1.03,0.0293,#NUM!,ACKR4 C3 CXCR3 IL1RL2 MMP28 MMP9
Chondroitin Sulfate Biosynthesis,1.03,0.0423,#NUM!,SULT1C2 SULT1C4 SULT2B1
Remodeling of Epithelial Adherens Junctions,1.03,0.0423,#NUM!,IQGAP1 TUBA3E TUBB1
Oxytocin in Spinal Neurons Signaling Pathway,1.01,0.0571,#NUM!,GUCY2D PRKG2
Transcriptional Regulation by NPAS4,1.01,0.0571,#NUM!,FOS NPAS4
Coagulation System,1.01,0.0571,#NUM!,F7 PLAU
IL-9 Signaling,1.01,0.0571,#NUM!,CISH SOCS3
Growth Hormone Signaling,1,0.0411,#NUM!,FOS RPS6KA2 SOCS3
Dermatan Sulfate Biosynthesis,1,0.0411,#NUM!,SULT1C2 SULT1C4 SULT2B1
TYSND1 cleaves peroxisomal proteins,0.994,0.143,#NUM!,ACAA1
Urea Cycle,0.994,0.143,#NUM!,ASS1
Arginine Degradation VI (Arginase 2 Pathway),0.994,0.143,#NUM!,PYCR2
Ceramide Degradation,0.994,0.143,#NUM!,ASAH2
Thioredoxin Signaling Pathway,0.99,0.0405,#NUM!,C3 CFB FOS
ERK5 Signaling,0.99,0.0405,#NUM!,FOS FOSL1 RPS6KA2
Antioxidant Action of Vitamin C,0.989,0.0342,#NUM!,PLA2G4C PLD6 SLC23A1 SLC23A3
Detoxification of Reactive Oxygen Species,0.966,0.0541,#NUM!,CYBA GSTP1
Fatty acyl-CoA biosynthesis,0.966,0.0541,#NUM!,ELOVL7 HSD17B8
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation,0.966,0.0541,#NUM!,LCP1 STAT4
Plasma lipoprotein assembly  remodeling  and clearance,0.964,0.0395,#NUM!,APOE LPL NPC2
Toll-like Receptor Signaling,0.951,0.039,#NUM!,FOS TIRAP TLR8
MIF-mediated Glucocorticoid Regulation,0.947,0.0526,#NUM!,PLA2G4C PTGS2
Inhibition of Matrix Metalloproteases,0.947,0.0526,#NUM!,MMP28 MMP9
TRAIL signaling,0.939,0.125,#NUM!,CASP8
Miro GTPase Cycle,0.939,0.125,#NUM!,TRAK2
Regulation of NFE2L2 gene expression,0.939,0.125,#NUM!,MAFK
Glycosphingolipid transport,0.939,0.125,#NUM!,ESYT1
Ceramide Biosynthesis,0.939,0.125,#NUM!,SPTSSB
Sphingomyelin Metabolism,0.939,0.125,#NUM!,SMPD2
Meiotic synapsis,0.939,0.0385,#NUM!,H2BC21 SYCE3 SYCP3
VDR/RXR Activation,0.939,0.0385,#NUM!,CSNK2A1 IGFBP1 KLF4
Mitophagy,0.91,0.05,#NUM!,CSNK2A1 MAP1LC3B
Dopamine Degradation,0.91,0.05,#NUM!,SULT1C2 SULT1C4
Gαs Signaling,0.893,0.0315,#NUM!,ADRB3 CHRM5 CNGB3 RAPGEF3
Interleukin-7 signaling,0.893,0.0488,#NUM!,CISH H3C6
Pyrimidine Ribonucleotides Interconversion,0.893,0.0488,#NUM!,ENTPD3 NUDT15
Metabolism of water-soluble vitamins and cofactors,0.891,0.0366,#NUM!,ACP5 SLC23A1 TPK1
Agranulocyte Adhesion and Diapedesis,0.891,0.0267,#NUM!,ACKR4 C3 CXCR3 MMP28 MMP9 MYH4
Erythrocytes take up oxygen and release carbon dioxide,0.891,0.111,#NUM!,RHAG
Pathogenesis of Multiple Sclerosis,0.891,0.111,#NUM!,CXCR3
Sphingosine and Sphingosine-1-phosphate Metabolism,0.891,0.111,#NUM!,ASAH2
Transcriptional regulation of white adipocyte differentiation,0.869,0.0357,#NUM!,CEBPD KLF4 LPL
Transport of vitamins  nucleosides  and related molecules,0.859,0.0465,#NUM!,SLC29A1 SLC29A2
Acetone Degradation I (to Methylglyoxal),0.859,0.0465,#NUM!,CYP1B1 PTGR1
Activation of NMDA receptors and postsynaptic events,0.858,0.0353,#NUM!,RPS6KA2 TUBA3E TUBB1
Melatonin Degradation I,0.858,0.0353,#NUM!,CYP1B1 SULT1C2 SULT1C4
Urea cycle,0.849,0.1,#NUM!,ASS1
Creatine metabolism,0.849,0.1,#NUM!,GAMT
Glycogen Degradation II,0.849,0.1,#NUM!,PYGL
γ-glutamyl Cycle,0.849,0.1,#NUM!,ANPEP
BAG2 Signaling Pathway,0.847,0.0349,#NUM!,BAG2 PSMD9 PSME1
TAK1-dependent IKK and NF-kappa-B activation,0.843,0.0455,#NUM!,CASP8 SAA1
Assembly and cell surface presentation of NMDA receptors,0.843,0.0455,#NUM!,TUBA3E TUBB1
Retinoid metabolism and transport,0.843,0.0455,#NUM!,APOE LPL
Pyrimidine Ribonucleotides De Novo Biosynthesis,0.843,0.0455,#NUM!,ENTPD3 NUDT15
Bile acid and bile salt metabolism,0.828,0.0444,#NUM!,ABCB11 CYP8B1
Regulation of Cellular Mechanics by Calpain Protease,0.815,0.0337,#NUM!,CAPN8 CNGB3 ITGAL
Estrogen Biosynthesis,0.813,0.0435,#NUM!,CYP1B1 HSD17B8
DNA damage-induced 14-3-3σ Signaling,0.813,0.0435,#NUM!,CASP8 HUS1
IL-23 Signaling Pathway,0.813,0.0435,#NUM!,SOCS3 STAT4
Phenylalanine and tyrosine metabolism,0.81,0.0909,#NUM!,TAT
Pexophagy,0.81,0.0909,#NUM!,MAP1LC3B
NFE2L2 regulating tumorigenic genes,0.81,0.0909,#NUM!,MAFK
NAD Phosphorylation and Dephosphorylation,0.81,0.0909,#NUM!,ACP5
Role of PKR in Interferon Induction and Antiviral Response,0.801,0.029,#NUM!,CASP8 FOS MARCO TIRAP
Interleukin-2 family signaling,0.798,0.0426,#NUM!,LGALS9 STAT4
Superpathway of Melatonin Degradation,0.795,0.033,#NUM!,CYP1B1 SULT1C2 SULT1C4
STAT3 Pathway,0.793,0.0288,#NUM!,CISH IL1RL2 IL20RA SOCS3
XBP1(S) activates chaperone genes,0.783,0.0417,#NUM!,EXTL3 WFS1
Complex IV assembly,0.783,0.0417,#NUM!,COX14 TACO1
Reversible hydration of carbon dioxide,0.776,0.0833,#NUM!,CA13
Peptide hormone biosynthesis,0.776,0.0833,#NUM!,TSHB
Signaling by Leptin,0.776,0.0833,#NUM!,SOCS3
Lysine catabolism,0.776,0.0833,#NUM!,CRYM
Glycogen Degradation III,0.776,0.0833,#NUM!,PYGL
Immunogenic Cell Death Signaling Pathway,0.757,0.0316,#NUM!,ANXA1 CASP8 P2RX7
RUNX1 regulates megakaryocyte differentiation and platelet function,0.757,0.0316,#NUM!,GATA1 H2BC21 H3C6
Apelin Adipocyte Signaling Pathway,0.757,0.0316,#NUM!,CP GSTP1 MGST2
Signaling by NOTCH3,0.756,0.04,#NUM!,HES5 IKZF1
MYC Mediated Apoptosis Signaling,0.756,0.04,#NUM!,ADRB3 CASP8
Erythrocytes take up carbon dioxide and release oxygen,0.744,0.0769,#NUM!,RHAG
Mitochondrial iron-sulfur cluster biogenesis,0.744,0.0769,#NUM!,SLC25A37
Advanced glycosylation endproduct receptor signaling,0.744,0.0769,#NUM!,SAA1
Gap junction trafficking and regulation,0.743,0.0392,#NUM!,TUBA3E TUBB1
UVC-Induced MAPK Signaling,0.743,0.0392,#NUM!,FOS SMPD2
Transcriptional regulation by RUNX3,0.739,0.0309,#NUM!,ITGAL PSMD9 PSME1
Meiosis Initiation Signaling Pathway,0.73,0.0306,#NUM!,MSH5 SYCE3 SYCP3
Proteasome assembly,0.73,0.0385,#NUM!,PSMD9 PSME1
TNFR1 Signaling,0.73,0.0385,#NUM!,CASP8 FOS
Amyloid Processing,0.73,0.0385,#NUM!,CAPN8 CSNK2A1
Protein folding,0.721,0.0303,#NUM!,CSNK2A1 TUBA3E TUBB1
Tryptophan catabolism,0.715,0.0714,#NUM!,IDO2
Glutamate and glutamine metabolism,0.715,0.0714,#NUM!,PYCR2
Assembly of RNA Polymerase III Complex,0.715,0.0714,#NUM!,BRF2
Choline Biosynthesis III,0.715,0.0714,#NUM!,PLD6
Colanic Acid Building Blocks Biosynthesis,0.715,0.0714,#NUM!,GALK2
Regulation of Apoptosis,0.705,0.037,#NUM!,PSMD9 PSME1
Cellular response to heat stress,0.704,0.0297,#NUM!,BAG2 EEF1A1 HSPA12B
S Phase,0.704,0.0297,#NUM!,PSMD9 PSME1 PTK6
COPI-mediated anterograde transport,0.695,0.0294,#NUM!,SPTBN5 TUBA3E TUBB1
Signaling by PTK6,0.693,0.0364,#NUM!,PTK6 SOCS3
Amino acids regulate mTORC1,0.693,0.0364,#NUM!,LAMTOR1 RRAGD
Phosphorylation and nuclear translocation of the CRY:PER:kinase complex,0.689,0.0667,#NUM!,CSNK2A1
Leukotriene Biosynthesis,0.689,0.0667,#NUM!,MGST2
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,0.686,0.026,#NUM!,C3 C3AR1 PTX3 TLR8
NLR signaling pathways,0.681,0.0357,#NUM!,CASP8 P2RX7
Somitogenesis,0.681,0.0357,#NUM!,PSMD9 PSME1
CD27 Signaling in Lymphocytes,0.681,0.0357,#NUM!,CASP8 FOS
EGF Signaling,0.681,0.0357,#NUM!,CSNK2A1 FOS
Corticotropin Releasing Hormone Signaling,0.679,0.0258,#NUM!,FOS GUCY2D NR4A1 PTGS2
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand,0.67,0.0351,#NUM!,TUBA3E TUBB1
Caspase activation via Death Receptors in the presence of ligand,0.664,0.0625,#NUM!,CASP8
Rap1 signalling,0.664,0.0625,#NUM!,RAPGEF3
Granzyme B Signaling,0.664,0.0625,#NUM!,CASP8
Extrinsic Prothrombin Activation Pathway,0.664,0.0625,#NUM!,F7
Integration of energy metabolism,0.647,0.0278,#NUM!,GCG IQGAP1 RAPGEF3
PPAR Signaling,0.647,0.0278,#NUM!,FOS IL1RL2 PTGS2
Xenobiotic Metabolism AHR Signaling Pathway,0.647,0.0278,#NUM!,CYP1B1 GSTP1 MGST2
Metabolism of Angiotensinogen to Angiotensins,0.641,0.0588,#NUM!,ANPEP
Transcriptional regulation of pluripotent stem cells,0.641,0.0588,#NUM!,KLF4
Protein methylation,0.641,0.0588,#NUM!,EEF1A1
FOXO-mediated transcription of cell cycle genes,0.641,0.0588,#NUM!,KLF4
Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,0.641,0.0588,#NUM!,P2RX7
Chondroitin Sulfate Degradation (Metazoa),0.641,0.0588,#NUM!,ARSB
Egg-Sperm Fusion Signaling Pathway,0.639,0.0275,#NUM!,RAB27B RAPGEF3 SYT13
Metabolism of polyamines,0.637,0.0333,#NUM!,PSMD9 PSME1
GADD45 Signaling,0.637,0.0333,#NUM!,ACVR2B GADD45B
Gamma carboxylation  hypusinylation  hydroxylation  and arylsulfatase activation,0.626,0.0328,#NUM!,ARSB F7
NIK-->noncanonical NF-kB signaling,0.626,0.0328,#NUM!,PSMD9 PSME1
Retinoic acid Mediated Apoptosis Signaling,0.626,0.0328,#NUM!,CASP8 PARP12
Gastrin-CREB signalling pathway via PKC and MAPK,0.619,0.0556,#NUM!,RPS6KA2
Phase I - Functionalization of compounds,0.617,0.0268,#NUM!,CYP1B1 CYP8B1 TBXAS1
Kinesins,0.616,0.0323,#NUM!,TUBA3E TUBB1
Degradation of CRY and PER proteins,0.616,0.0323,#NUM!,PSMD9 PSME1
MSP-RON Signaling Pathway,0.616,0.0323,#NUM!,MST1 RPS6KA2
Xenobiotic Metabolism PXR Signaling Pathway,0.615,0.0227,#NUM!,GSTP1 MGST2 SULT1C2 SULT1C4 SULT2B1
DNA methylation,0.606,0.0317,#NUM!,H2BC21 H3C6
Co-inhibition by BTLA,0.606,0.0317,#NUM!,STK33 WHR1
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation),0.606,0.0317,#NUM!,SULT1C2 SULT1C4
IL-2 Signaling,0.606,0.0317,#NUM!,CSNK2A1 FOS
Signaling by Activin,0.599,0.0526,#NUM!,ACVR2B
Regulation of TP53 Activity through Methylation,0.599,0.0526,#NUM!,L3MBTL1
Modulation of host responses by IFN-stimulated genes,0.599,0.0526,#NUM!,IFI44
Collagen degradation,0.597,0.0312,#NUM!,CTSK MMP9
UFMylation Signaling Pathway,0.597,0.0312,#NUM!,ERN1 GATA1
Hedgehog 'off' state,0.596,0.0261,#NUM!,PSMD9 PSME1 TUBB1
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3,0.587,0.0308,#NUM!,H2BC21 H3C6
Myocardin Signaling Pathway,0.582,0.0256,#NUM!,ACVR2B CNN1 KLF4
Cholecystokinin/Gastrin-mediated Signaling,0.582,0.0256,#NUM!,CREM FOS PTGS2
Receptor-type tyrosine-protein phosphatases,0.579,0.05,#NUM!,PPFIBP2
Interleukin-12 family signaling,0.579,0.05,#NUM!,STAT4
Class I peroxisomal membrane protein import,0.579,0.05,#NUM!,PXMP4
Maturation of TCA enzymes and regulation of TCA cycle,0.579,0.05,#NUM!,SDHAF1
Hedgehog ligand biogenesis,0.578,0.0303,#NUM!,PSMD9 PSME1
Axonal Guidance Signaling,0.577,0.0193,#NUM!,ADAM8 ADAMTS13 ANPEP EIF3H ERAP2 ITGAL MMP28 MMP9 TUBA3E TUBB1
Binding and Uptake of Ligands by Scavenger Receptors,0.569,0.0252,#NUM!,APOE MARCO SAA1
Regulation of lipid metabolism by PPARalpha,0.569,0.0252,#NUM!,G0S2 ME1 PEX11A
Sphingosine-1-phosphate Signaling,0.569,0.0252,#NUM!,ASAH2 CASP8 SMPD2
PXR/RXR Activation,0.569,0.0299,#NUM!,ABCB11 IGFBP1
CD40 Signaling,0.569,0.0299,#NUM!,FOS PTGS2
Phagosome Maturation,0.566,0.023,#NUM!,CTSK CTSS TUBA3E TUBB1
Nitric Oxide Signaling in the Cardiovascular System,0.562,0.025,#NUM!,ADRB3 GUCY2D PRKG2
Bile Acid Biosynthesis  Neutral Pathway,0.561,0.0476,#NUM!,CYP8B1
Endoplasmic Reticulum Stress Pathway,0.561,0.0476,#NUM!,ERN1
Vitamin K Signaling Pathway,0.56,0.0294,#NUM!,APOE F7
Xenobiotic Metabolism CAR Signaling Pathway,0.558,0.0216,#NUM!,GSTP1 MGST2 SULT1C2 SULT1C4 SULT2B1
TNFR2 non-canonical NF-kB pathway,0.551,0.029,#NUM!,PSMD9 PSME1
rRNA modification in the nucleus and cytosol,0.551,0.029,#NUM!,NOP10 SNU13
Chromatin modifications during the maternal to zygotic transition (MZT),0.551,0.029,#NUM!,H2BC21 H3C6
Cellular hexose transport,0.544,0.0455,#NUM!,SLC5A9
Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes,0.544,0.0455,#NUM!,CREM
Fatty Acid α-oxidation,0.544,0.0455,#NUM!,PTGS2
TP53 Regulates Transcription of DNA Repair Genes,0.542,0.0286,#NUM!,FOS RAD51D
Telomere Maintenance,0.537,0.0242,#NUM!,H2BC21 H3C6 NOP10
p38 MAPK Signaling,0.537,0.0242,#NUM!,IL1RL2 PLA2G4C RPS6KA2
Glioma Invasiveness Signaling,0.534,0.0282,#NUM!,MMP9 PLAU
Oxidative Stress Induced Senescence,0.531,0.024,#NUM!,FOS H2BC21 H3C6
Tight Junction Signaling,0.53,0.0221,#NUM!,F11R FOS IGSF5 MYH4
RAF-independent MAPK1/3 activation,0.528,0.0435,#NUM!,DUSP2
Signaling by NODAL,0.528,0.0435,#NUM!,ACVR2B
Nephrin family interactions,0.528,0.0435,#NUM!,IQGAP1
NFE2L2 regulating anti-oxidant/detoxification enzymes,0.528,0.0435,#NUM!,MAFK
NAD Salvage Pathway II,0.528,0.0435,#NUM!,ACP5
Translocation of SLC2A4 (GLUT4) to the plasma membrane,0.526,0.0278,#NUM!,TUBA3E TUBB1
PRC2 methylates histones and DNA,0.526,0.0278,#NUM!,H2BC21 H3C6
Aryl Hydrocarbon Receptor Signaling,0.525,0.022,#NUM!,CYP1B1 FOS GSTP1 MGST2
Regulation of RUNX2 expression and activity,0.517,0.0274,#NUM!,PSMD9 PSME1
RHO GTPases Activate NADPH Oxidases,0.513,0.0417,#NUM!,CYBA
Interleukin-6 family signaling,0.513,0.0417,#NUM!,SOCS3
RAS processing,0.513,0.0417,#NUM!,PRKG2
IL-22 Signaling,0.513,0.0417,#NUM!,SOCS3
Vitamin-C Transport,0.513,0.0417,#NUM!,SLC23A1
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,0.51,0.027,#NUM!,H2BC21 H3C6
Nicotine Degradation III,0.51,0.027,#NUM!,Aox2 CYP1B1
Glycerophospholipid biosynthesis,0.507,0.0233,#NUM!,CSNK2A1 PLA2G4C PLD6
trans-Golgi Network Vesicle Budding,0.502,0.0267,#NUM!,BLOC1S3 TFRC
Extra-nuclear estrogen signaling,0.502,0.0267,#NUM!,FOS MMP9
Interleukin-1 family signaling,0.501,0.0231,#NUM!,IL1RL2 PSMD9 PSME1
Incretin synthesis  secretion  and inactivation,0.498,0.04,#NUM!,GCG
Bupropion Degradation,0.498,0.04,#NUM!,CYP1B1
HGF Signaling,0.496,0.0229,#NUM!,FOS ITGAL PTGS2
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell,0.494,0.0263,#NUM!,ADRB3 GCG
14-3-3-mediated Signaling,0.49,0.0227,#NUM!,FOS TUBA3E TUBB1
Cellular response to hypoxia,0.487,0.026,#NUM!,PSMD9 PSME1
Mitotic G1 phase and G1/S transition,0.484,0.0226,#NUM!,PSMD9 PSME1 PTK6
BMAL1:CLOCK NPAS2 activates circadian expression,0.484,0.0385,#NUM!,F7
Glycogen metabolism,0.484,0.0385,#NUM!,PYGL
Signaling by Erythropoietin,0.484,0.0385,#NUM!,EPOR
Cardiomyocyte Differentiation via BMP Receptors,0.484,0.0385,#NUM!,ACVR2B
IL-17A Signaling in Gastric Cells,0.484,0.0385,#NUM!,FOS
The Visual Cycle,0.484,0.0385,#NUM!,RBP3
Signaling by NOTCH1,0.479,0.0256,#NUM!,HDAC10 HES5
Maturity Onset Diabetes of Young (MODY) Signaling,0.479,0.0256,#NUM!,ALDOB APOE
Hepatic Fibrosis / Hepatic Stellate Cell Activation,0.478,0.0208,#NUM!,CXCR3 IL1RL2 MMP9 MYH4
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza,0.472,0.0253,#NUM!,PLA2G4C PTGS2
Integrin signaling,0.471,0.037,#NUM!,RAPGEF3
ATF4 activates genes in response to endoplasmic reticulum stress,0.471,0.037,#NUM!,IGFBP1
Role of JAK1  JAK2 and TYK2 in Interferon Signaling,0.471,0.037,#NUM!,TSHB
IL-17A Signaling in Fibroblasts,0.465,0.025,#NUM!,CEBPD FOS
Cerebral Malformation Signaling Pathway,0.463,0.0219,#NUM!,KLF4 MMP9 PTGS2
Digestion,0.458,0.0357,#NUM!,AMY2A
Glycolysis I,0.458,0.0357,#NUM!,ALDOB
DDX58/IFIH1-mediated induction of interferon-alpha/beta,0.458,0.0247,#NUM!,CASP8 SAA1
Signaling by NTRK1 (TRKA),0.458,0.0247,#NUM!,RALGDS RPS6KA2
ILK Signaling,0.456,0.0203,#NUM!,FOS MMP9 MYH4 PTGS2
Reelin Signaling in Neurons,0.453,0.0216,#NUM!,APOE ARHGEF3 PDK2
PPARα/RXRα Activation,0.452,0.0202,#NUM!,ACAA1 ACVR2B IL1RL2 LPL
FLT3 Signaling in Hematopoietic Progenitor Cells,0.451,0.0244,#NUM!,RPS6KA2 STAT4
PI3K/AKT Signaling,0.444,0.02,#NUM!,IL1RL2 IL20RA ITGAL PTGS2
PI Metabolism,0.438,0.0238,#NUM!,GDE1 MTMR7
SIRT1 negatively regulates rRNA expression,0.438,0.0238,#NUM!,H2BC21 H3C6
Role of MAPK Signaling in the Pathogenesis of Influenza,0.438,0.0238,#NUM!,PLA2G4C PTGS2
Signaling by NTRK3 (TRKC),0.434,0.0333,#NUM!,CASP8
FOXO-mediated transcription of oxidative stress  metabolic and neuronal genes,0.434,0.0333,#NUM!,IGFBP1
Signaling by CSF3 (G-CSF),0.434,0.0333,#NUM!,SOCS3
DHCR24 Signaling Pathway,0.433,0.021,#NUM!,APOE C3 SAA1
Integrin cell surface interactions,0.432,0.0235,#NUM!,F11R ITGAL
TP53 Regulates Metabolic Genes,0.432,0.0235,#NUM!,LAMTOR1 RRAGD
Nicotine Degradation II,0.432,0.0235,#NUM!,Aox2 CYP1B1
Platelet homeostasis,0.425,0.0233,#NUM!,P2RX7 PRKG2
Glucose metabolism,0.425,0.0233,#NUM!,ALDOB G6PC3
VEGF Family Ligand-Receptor Interactions,0.425,0.0233,#NUM!,FOS PLA2G4C
Signaling by BMP,0.423,0.0323,#NUM!,ACVR2B
PDGF Signaling,0.419,0.023,#NUM!,CSNK2A1 FOS
Transcriptional regulation of granulopoiesis,0.413,0.0227,#NUM!,H2BC21 H3C6
Toll-like Receptor Cascades,0.412,0.0312,#NUM!,TLR8
RIPK1-mediated regulated necrosis,0.412,0.0312,#NUM!,CASP8
Xenobiotic Metabolism Signaling,0.412,0.0181,#NUM!,CYP1B1 GSTP1 MGST2 SULT1C2 SULT1C4 SULT2B1
NRF2-mediated Oxidative Stress Response,0.409,0.0185,#NUM!,FOS FOSL1 GSTP1 MAFK MGST2
Clathrin-mediated Endocytosis Signaling,0.408,0.0191,#NUM!,AP5B1 APOE CSNK2A1 TFRC
B-WICH complex positively regulates rRNA expression,0.407,0.0225,#NUM!,H2BC21 H3C6
NAP1L1 Transcription Regulation Signaling Pathway,0.407,0.0225,#NUM!,TUBA3E TUBB1
Toll Like Receptor 3 (TLR3) Cascade,0.402,0.0303,#NUM!,CASP8
Unfolded Protein Response (UPR),0.402,0.0303,#NUM!,ERN1
Sialic acid metabolism,0.402,0.0303,#NUM!,NEU3
TNFR2 Signaling,0.402,0.0303,#NUM!,FOS
Inhibition of Angiogenesis by TSP1,0.402,0.0303,#NUM!,MMP9
Regulation of mRNA stability by proteins that bind AU-rich elements,0.401,0.0222,#NUM!,PSMD9 PSME1
Regulation of mitotic cell cycle,0.395,0.022,#NUM!,PSMD9 PSME1
Ceramide Signaling,0.395,0.022,#NUM!,FOS SMPD2
Cargo concentration in the ER,0.392,0.0294,#NUM!,SEC23B
Fatty Acid β-oxidation I,0.392,0.0294,#NUM!,ACAA1
Degradation of beta-catenin by the destruction complex,0.39,0.0217,#NUM!,PSMD9 PSME1
Cell junction organization,0.39,0.0217,#NUM!,CD151 F11R
PKR-mediated signaling,0.39,0.0217,#NUM!,TUBA3E TUBB1
Unfolded protein response,0.39,0.0217,#NUM!,CEBPD ERN1
MAPK6/MAPK4 signaling,0.384,0.0215,#NUM!,PSMD9 PSME1
Regulation of TP53 Activity through Phosphorylation,0.384,0.0215,#NUM!,CSNK2A1 HUS1
Post-translational modification: synthesis of GPI-anchored proteins,0.384,0.0215,#NUM!,OTOA PIGP
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes,0.384,0.0215,#NUM!,LCP2 PLD6
GPVI-mediated activation cascade,0.383,0.0286,#NUM!,LCP2
Late endosomal microautophagy,0.383,0.0286,#NUM!,PARK7
Methylglyoxal Degradation III,0.383,0.0286,#NUM!,PTGR1
Signaling by NOTCH2,0.373,0.0278,#NUM!,HES5
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,0.373,0.0278,#NUM!,APOE
Class B/2 (Secretin family receptors),0.373,0.0211,#NUM!,ADGRE5 GCG
Glucocorticoid Receptor Signaling,0.373,0.0167,#NUM!,ANXA1 FOS IL1RL2 IL20RA MMP9 PLA2G4C PLAU PTGS2 TAT TSC22D3
Prolactin Signaling,0.368,0.0208,#NUM!,FOS SOCS3
Serotonin Degradation,0.368,0.0208,#NUM!,SULT1C2 SULT1C4
Death Receptor Signaling,0.363,0.0206,#NUM!,CASP8 PARP12
TGF-β Signaling,0.363,0.0206,#NUM!,ACVR2B FOS
Mitochondrial protein degradation,0.358,0.0204,#NUM!,FECH OXSM
Huntington's Disease Signaling,0.356,0.0174,#NUM!,CAPN8 CASP8 HDAC10 PSMD9 PSME1
MyD88-independent TLR4 cascade,0.356,0.0263,#NUM!,CASP8
Metabolism of steroid hormones,0.356,0.0263,#NUM!,TSPO
TWEAK Signaling,0.356,0.0263,#NUM!,CASP8
Notch Signaling,0.356,0.0263,#NUM!,HES5
Preeclampsia Signaling Pathway,0.354,0.0186,#NUM!,FOS MMP9 PTGS2
